name,bus,control,p_nom_extendable,p_nom,capital_cost,marginal_cost
Wind,Power,Slack,TRUE,0,1.24E+06,0
Solar,Power,PQ,TRUE,0,4.45E+05,0
RampDummy,RampPenalty,Slack,TRUE,1.00E+04,0.00E+00,1.00E+00
Hydro,Power,Slack,TRUE,0,2327920,0
Geothermal,Power,Slack,TRUE,0,2.00E+08,0
